SELECT 4
 producto |   fecha    |   coalesce   
----------+------------+--------------
 ajo      | 2015-01-01 |      S/ 0.00
 ajo      | 2015-01-02 |      S/ 0.00
 ajo      | 2015-01-03 |      S/ 0.00
 ajo      | 2015-01-04 | S/ 98,000.00
 ajo      | 2015-01-05 |      S/ 0.00
 ajo      | 2015-01-06 |      S/ 0.00
 ajo      | 2015-01-07 |      S/ 0.00
 ajo      | 2015-01-08 |      S/ 0.00
 ajo      | 2015-01-09 |      S/ 0.00
 ajo      | 2015-01-10 |      S/ 0.00
 ajo      | 2015-01-11 |      S/ 0.00
 ajo      | 2015-01-12 |      S/ 0.00
 ajo      | 2015-01-13 |      S/ 0.00
 ajo      | 2015-01-14 |      S/ 0.00
 ajo      | 2015-01-15 |      S/ 0.00
 ajo      | 2015-01-16 |      S/ 0.00
 ajo      | 2015-01-17 |      S/ 0.00
 ajo      | 2015-01-18 |      S/ 0.00
 ajo      | 2015-01-19 |      S/ 0.00
 ajo      | 2015-01-20 |      S/ 0.00
 ajo      | 2015-01-21 |      S/ 0.00
 ajo      | 2015-01-22 |      S/ 0.00
 ajo      | 2015-01-23 |      S/ 0.00
 ajo      | 2015-01-24 |      S/ 0.00
 ajo      | 2015-01-25 |      S/ 0.00
 ajo      | 2015-01-26 |      S/ 0.00
 ajo      | 2015-01-27 |      S/ 0.00
 ajo      | 2015-01-28 |      S/ 0.00
 ajo      | 2015-01-29 |      S/ 0.00
 ajo      | 2015-01-30 |      S/ 0.00
 ajo      | 2015-01-31 |      S/ 0.00
 ajo      | 2015-02-01 |      S/ 0.00
 ajo      | 2015-02-02 |      S/ 0.00
 ajo      | 2015-02-03 |      S/ 0.00
 ajo      | 2015-02-04 |      S/ 0.00
 ajo      | 2015-02-05 |      S/ 0.00
 ajo      | 2015-02-06 |      S/ 0.00
 ajo      | 2015-02-07 |      S/ 0.00
 ajo      | 2015-02-08 |      S/ 0.00
 ajo      | 2015-02-09 |      S/ 0.00
 ajo      | 2015-02-10 |      S/ 0.00
 ajo      | 2015-02-11 |      S/ 0.00
 ajo      | 2015-02-12 |      S/ 0.00
 ajo      | 2015-02-13 |      S/ 0.00
 ajo      | 2015-02-14 |      S/ 0.00
 ajo      | 2015-02-15 | S/ 83,000.00
 ajo      | 2015-02-16 |      S/ 0.00
 ajo      | 2015-02-17 |      S/ 0.00
 camote   | 2015-01-01 |      S/ 0.00
 camote   | 2015-01-02 |      S/ 0.00
 camote   | 2015-01-03 | S/ 33,000.00
 camote   | 2015-01-04 |      S/ 0.00
 camote   | 2015-01-05 |      S/ 0.00
 camote   | 2015-01-06 |      S/ 0.00
 camote   | 2015-01-07 |      S/ 0.00
 camote   | 2015-01-08 |      S/ 0.00
 camote   | 2015-01-09 |      S/ 0.00
 camote   | 2015-01-10 | S/ 23,200.00
 camote   | 2015-01-11 |      S/ 0.00
 camote   | 2015-01-12 |      S/ 0.00
 camote   | 2015-01-13 |      S/ 0.00
 camote   | 2015-01-14 |      S/ 0.00
 camote   | 2015-01-15 |      S/ 0.00
 camote   | 2015-01-16 |      S/ 0.00
 camote   | 2015-01-17 |      S/ 0.00
 camote   | 2015-01-18 |      S/ 0.00
 camote   | 2015-01-19 |      S/ 0.00
 camote   | 2015-01-20 |      S/ 0.00
 camote   | 2015-01-21 |      S/ 0.00
 camote   | 2015-01-22 |      S/ 0.00
 camote   | 2015-01-23 |      S/ 0.00
 camote   | 2015-01-24 |      S/ 0.00
 camote   | 2015-01-25 |      S/ 0.00
 camote   | 2015-01-26 |      S/ 0.00
 camote   | 2015-01-27 |      S/ 0.00
 camote   | 2015-01-28 |      S/ 0.00
 camote   | 2015-01-29 |      S/ 0.00
 camote   | 2015-01-30 |      S/ 0.00
 camote   | 2015-01-31 |      S/ 0.00
 camote   | 2015-02-01 |      S/ 0.00
 camote   | 2015-02-02 |      S/ 0.00
 camote   | 2015-02-03 |      S/ 0.00
 camote   | 2015-02-04 |      S/ 0.00
 camote   | 2015-02-05 |      S/ 0.00
 camote   | 2015-02-06 |      S/ 0.00
 camote   | 2015-02-07 |      S/ 0.00
 camote   | 2015-02-08 |      S/ 0.00
 camote   | 2015-02-09 |      S/ 0.00
 camote   | 2015-02-10 |      S/ 0.00
 camote   | 2015-02-11 |      S/ 0.00
 camote   | 2015-02-12 |      S/ 0.00
 camote   | 2015-02-13 |      S/ 0.00
 camote   | 2015-02-14 |      S/ 0.00
 camote   | 2015-02-15 |      S/ 0.00
 camote   | 2015-02-16 |      S/ 0.00
 camote   | 2015-02-17 |      S/ 0.00
(96 rows)

